TRI Incident Number,ForceType,InjuryLevel,Member Injured,Rank Grouped,Assignment,Member Gender,Race
2020020962018,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962018,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962021,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962022,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962025,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962031,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962035,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962037,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962037,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962043,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962043,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962044,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962045,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962046,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962047,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962052,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962055,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962055,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962114,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962114,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962135,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962135,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962143,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020020962150,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020024962045,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020024962046,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020024962093,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020024962143,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962023,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962024,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962028,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962050,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962053,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962055,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962058,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962060,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962090,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962090,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962116,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962121,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962122,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962158,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
2020025962161,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,WHITE
