TRI Incident Number,Subject Injury Level,Subject Injured,Age,Subject Race,Subject Gender,Force Against MOS,Subject Used Force
2020020962054,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020020962062,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020024962101,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020024962121,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020028962025,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020028962177,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020029962041,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020032962031,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020032962065,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020033962026,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020033962122,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020033962167,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020037962069,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020038962038,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020042962061,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020043962079,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020044962170,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020045962015,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020045962016,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020047962141,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020049962037,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020051962081,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020052962037,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020052962040,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020053962029,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020059962213,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020060962035,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020061962041,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020061962097,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020061962099,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020063962054,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020063962134,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020063962289,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020065962090,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020065962119,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020065962183,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020065962204,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020065962245,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020066962031,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020066962058,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020066962071,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020066962216,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020066962235,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020066962237,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020067962067,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020068962038,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020071962093,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020079962143,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020080962064,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020080962086,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020086962029,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020086962087,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020086962127,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020086962141,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020090962048,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020090962074,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020090962117,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020092962050,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020092962177,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020092962186,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020094962163,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020094962183,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020096962081,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020098962188,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020100962067,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020102962062,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020103962030,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020107962017,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020120962051,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020121962066,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020121962073,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020122962032,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020122962083,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020122962119,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020122962216,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020124962053,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020127962022,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020131962030,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020132962119,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020132962140,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020133962080,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020134962046,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021020962024,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021024962046,No Injury,N,28,BLACK,MALE,Physical Force,Y
